State,Rank,Percent,Margin of Error,Percent,Margin of Error,Percent,Margin of Error,Ratio
Alabama,4,0.197083324193954,0.0138656198978424,0.217324420809746,0.0341067165136337,0.186941906809807,0.00372420251369476,1.16252386569977
Alaska,38,0.129271164536476,0.0258631482720375,0.173312127590179,0.0699041113257408,0.105028256773949,0.00162024050951004,1.65014755725861
Arizona,11,0.171051770448685,0.0116396844387054,0.227693155407906,0.0682810693979263,0.137421235442162,-0.0219908505678177,1.65689933300018
Arkansas,5,0.19548599421978,0.016553208231926,0.232051819562912,0.053119033575058,0.175183802843094,-0.00374898314476013,1.3246191740036
California,29,0.140945509076118,0.00473549962043762,0.158384934067726,0.0221749246120453,0.129893928766251,-0.00631608068943024,1.21934056282043
Colorado,41,0.127347871661186,0.00992192327976227,0.152356624603271,0.0349306762218475,0.113895162940025,-0.00353078544139862,1.33769178390503
Connecticut,42,0.126327306032181,0.0131531804800034,0.148678198456764,0.0355040729045868,0.115448899567127,0.0022747740149498,1.28782689571381
Delaware,19,0.158675417304039,0.0309731513261795,0.234010472893715,0.106308206915855,0.125540792942047,-0.00216147303581238,1.8640193939209
District of Columbia,24,0.147682145237923,0.0306535288691521,0.23302173614502,0.115993119776249,0.120001032948494,0.00297241657972336,1.94183111190796
Florida,15,0.16593861579895,0.00648729503154755,0.209256619215012,0.0498052984476089,0.144515991210938,-0.0149353295564651,1.44798243045807
Georgia,9,0.172891870141029,0.00915561616420746,0.18758986890316,0.0238536149263382,0.163700759410858,-0.0000354945659637451,1.14593160152435
Hawaii,21,0.152503594756126,0.0305769667029381,0.192694216966629,0.0707675889134407,0.132343739271164,0.0104171112179756,1.45601308345795
Idaho,28,0.141196802258492,0.0185803323984146,0.15702797472477,0.0344115048646927,0.131778091192245,0.00916162133216858,1.19160914421082
Illinois,30,0.140141487121582,0.00850188732147217,0.173234701156616,0.0415951013565063,0.123372197151184,-0.00826740264892578,1.40416324138641
Indiana,20,0.158490180969238,0.0109981000423431,0.188760697841644,0.0412686169147491,0.141645669937134,-0.00584641098976135,1.33262598514557
Iowa,46,0.117271028459072,0.0127928927540779,0.149183005094528,0.044704869389534,0.102022111415863,-0.00245602428913116,1.46226143836975
Kansas,45,0.118444226682186,0.0139530077576637,0.125994130969048,0.0215029120445251,0.113775603473186,0.00928438454866409,1.10739147663116
Kentucky,12,0.169813051819801,0.0131214559078217,0.186487898230553,0.029796302318573,0.160651564598083,0.00395996868610382,1.16082215309143
Louisiana,2,0.2133499532938,0.0148435682058334,0.240853697061539,0.0423473119735718,0.197550117969513,-0.000956267118453979,1.21920299530029
Maine,33,0.13487896323204,0.0201883912086487,0.157930865883827,0.0432402938604355,0.125448033213615,0.0107574611902237,1.25893461704254
Maryland,43,0.125674694776535,0.0101988688111305,0.147592827677727,0.0321170017123222,0.114064864814281,-0.00141096115112305,1.29393768310547
Massachusetts,47,0.11643560230732,0.00917588174343109,0.137707874178886,0.0304481536149979,0.105781473219395,-0.00147824734449387,1.30181467533112
Michigan,22,0.150804579257965,0.00915633141994476,0.173809930682182,0.032161682844162,0.140043169260025,-0.0016050785779953,1.24111676216125
Minnesota,50,0.102809593081474,0.00982632488012314,0.127190172672272,0.0342069044709206,0.0885980352759361,-0.00438523292541504,1.435586810112
Mississippi,1,0.219957411289215,0.0190200358629227,0.257874578237534,0.0569372028112411,0.196793258190155,-0.00414411723613739,1.31038320064545
Missouri,27,0.141523703932762,0.0103457123041153,0.168469876050949,0.0372918844223022,0.127971783280373,-0.00320620834827423,1.31646108627319
Montana,36,0.131540164351463,0.0191002264618874,0.156580626964569,0.0441406890749931,0.120187290012836,0.0077473521232605,1.30280518531799
Nebraska,40,0.12792444229126,0.0155996680259705,0.162105187773705,0.0497804135084152,0.108524329960346,-0.00380044430494308,1.49372208118439
Nevada,10,0.171379253268242,0.0178875476121902,0.190018370747566,0.0365266650915146,0.16223332285881,0.00874161720275879,1.17126595973969
New Hampshire,26,0.142174646258354,0.0242308601737022,0.176110669970512,0.0581668838858604,0.127042397856712,0.00909861177206039,1.38623535633087
New Jersey,35,0.131864607334137,0.00923933833837509,0.160607010126114,0.037981741130352,0.115291982889175,-0.00733328610658646,1.39304578304291
New Mexico,8,0.177307620644569,0.0178001224994659,0.214723855257034,0.0552163571119308,0.153572589159012,-0.00593490898609161,1.39819133281708
New York,25,0.143484190106392,0.00604833662509918,0.186136096715927,0.0487002432346344,0.12096530944109,-0.0164705440402031,1.53875601291656
North Carolina,17,0.1644167304039,0.00887374579906464,0.185778543353081,0.0302355587482452,0.152621328830719,-0.00292165577411652,1.21725153923035
North Dakota,51,0.0803767517209053,0.0212535336613655,0.0614500492811203,0.00232683122158051,0.08961271494627,0.0304894968867302,0.685729146003723
Ohio,18,0.161733239889145,0.00849373638629913,0.19482147693634,0.0415819734334946,0.146141245961189,-0.00709825754165649,1.33310401439667
Oklahoma,6,0.190582290291786,0.0136980712413788,0.223110213875771,0.0462259948253632,0.171973079442978,-0.0049111396074295,1.29735541343689
Oregon,23,0.148359894752502,0.011778935790062,0.183182686567307,0.046601727604866,0.132380768656731,-0.00420019030570984,1.38375604152679
Pennsylvania,34,0.133478432893753,0.00692866742610931,0.16664120554924,0.0400914400815964,0.117333546280861,-0.00921621918678284,1.42023491859436
Rhode Island,16,0.164481222629547,0.0284076780080795,0.197482824325562,0.0614092797040939,0.147008553147316,0.0109350085258484,1.34334242343903
South Carolina,7,0.182737961411476,0.01398965716362,0.198671922087669,0.0299236178398132,0.174134120345116,0.00538581609725952,1.14091324806213
South Dakota,49,0.103305399417877,0.0238966643810272,0.122155755758286,0.0427470207214355,0.0920450091362,0.01263627409935,1.32713067531586
Tennessee,13,0.167907938361168,0.0104859620332718,0.179560735821724,0.0221387594938278,0.162361040711403,0.00493906438350677,1.10593485832214
Texas,14,0.167327716946602,0.00569379329681396,0.196331530809402,0.0346976071596146,0.147578924894333,-0.014054998755455,1.33034932613373
Utah,44,0.125151723623276,0.0128616318106651,0.148838385939598,0.0365482941269875,0.107357442378998,-0.00493264943361282,1.38638162612915
Vermont,39,0.12833571434021,0.0294107794761658,0.144286826252937,0.0453618913888931,0.122383005917072,0.0234580710530281,1.17897760868073
Virginia,31,0.136641845107079,0.00914002954959869,0.158134341239929,0.0306325256824493,0.124035410583019,-0.0034664049744606,1.27491283416748
Washington,37,0.129450663924217,0.00876227021217346,0.156663998961449,0.0359756052494049,0.115982554852962,-0.00470583885908127,1.35075485706329
West Virginia,3,0.203111261129379,0.0231799334287643,0.224150285124779,0.0442189574241638,0.192857161164284,0.0129258334636688,1.16226065158844
Wisconsin,48,0.112979732453823,0.0102751031517982,0.14235608279705,0.0396514534950256,0.0991672202944756,-0.00353740900754929,1.43551552295685
Wyoming,32,0.136219426989555,0.0271781459450722,0.141525954008102,0.0324846729636192,0.133749276399612,0.0247079953551292,1.05814373493195
US,,0.15364171564579,0.0015893429517746,0.1794793009758,0.0274269282817841,0.13917301595211,-0.0128793567419052,1.28961277008057